name,dims_cham,dims_chamnew,bytes_cham,bytes_chamnew,fhash_equal,phash_equal,qtable_equal
animal-1.jpg,1024x768,1024x768,576372,576372,1,1,1
animal-10.jpg,1200x811,1200x811,347699,347699,1,1,1
animal-11.jpg,2288x1712,2288x1712,892776,892776,1,1,1
animal-12.jpg,1024x768,1024x768,532928,532928,1,1,1
animal-13.jpg,2304x3456,2304x3456,3708399,3708399,1,1,1
animal-14.jpg,1440x900,1440x900,408037,408037,1,1,1
animal-15.jpg,2048x1225,2048x1225,333471,333471,1,1,1
animal-16.jpg,815x1188,815x1188,600449,600449,1,1,1
animal-17.jpg,1200x947,1200x947,216485,216485,1,1,1
animal-18.jpg,1536x1136,1536x1136,847863,847863,1,1,1
animal-19.jpg,497x300,497x300,423321,423321,1,1,0
animal-2.jpg,2272x1704,2272x1704,3904970,3904970,1,1,1
animal-20.jpg,620x400,620x400,85094,85094,1,1,1
animal-21.jpg,2560x1920,2560x1920,2435551,2435551,1,1,1
animal-22.jpg,791x568,791x568,303662,303662,1,1,1
animal-23.jpg,1024x768,1024x768,637029,637029,1,1,1
animal-24.jpg,550x366,550x366,65527,65527,1,1,1
animal-25.jpg,880x587,880x587,419656,419656,1,1,1
animal-26.jpg,780x520,780x520,163863,163863,1,1,1
animal-27.jpg,505x360,505x360,172964,172964,1,1,1
animal-28.jpg,610x401,610x401,448710,448710,1,1,0
animal-29.jpg,620x413,620x413,77767,77767,1,1,1
animal-3.jpg,1200x818,1200x818,386011,386011,1,1,1
animal-30.jpg,600x330,600x330,51950,51950,1,1,1
animal-31.jpg,640x480,640x480,378353,378353,1,1,1
animal-32.jpg,500x375,500x375,210747,210747,1,1,1
animal-33.jpg,426x650,426x650,108189,108189,1,1,1
animal-34.jpg,700x436,700x436,50553,50553,1,1,1
animal-35.jpg,470x688,470x688,96397,96397,1,1,1
animal-36.jpg,962x621,962x621,195905,195905,1,1,1
animal-37.jpg,962x622,962x622,207185,207185,1,1,1
animal-38.jpg,450x300,450x300,73362,73362,1,1,1
animal-39.jpg,940x590,940x590,442025,442025,1,1,1
animal-4.jpg,1200x945,1200x945,175008,175008,1,1,1
animal-40.jpg,500x728,500x728,220635,220635,1,1,1
animal-41.jpg,1024x664,1024x664,446647,446647,1,1,1
animal-42.jpg,880x587,880x587,97976,97976,1,1,1
animal-43.jpg,755x352,755x352,340025,340025,1,1,1
animal-44.jpg,755x319,755x319,292044,292044,1,1,1
animal-45.jpg,605x349,605x349,37348,37348,1,1,1
animal-46.jpg,1024x466,1024x466,289826,289826,1,1,1
animal-47.jpg,755x487,755x487,400432,400432,1,1,1
animal-48.jpg,1300x849,1300x849,1301075,1301075,1,1,1
animal-49.jpg,580x387,580x387,307685,307685,1,1,1
animal-5.jpg,1024x768,1024x768,409615,409615,1,1,1
animal-50.jpg,1024x683,1024x683,279158,279158,1,1,1
animal-51.jpg,550x366,550x366,34125,34125,1,1,1
animal-52.jpg,580x773,580x773,593140,593140,1,1,1
animal-53.jpg,880x585,880x585,209567,209567,1,1,1
animal-54.jpg,880x660,880x660,293350,293350,1,1,1
animal-55.jpg,880x660,880x660,218091,218091,1,1,1
animal-56.jpg,1800x1389,1800x1389,609368,609368,1,1,1
animal-57.jpg,880x660,880x660,283173,283173,1,1,1
animal-58.jpg,880x660,880x660,180746,180746,1,1,1
animal-59.jpg,915x686,915x686,303404,303404,1,1,1
animal-6.jpg,880x908,880x908,307575,307575,1,1,1
animal-60.jpg,880x707,880x707,329845,329845,1,1,1
animal-61.jpg,605x362,605x362,96572,96572,1,1,1
animal-62.jpg,1000x628,1000x628,135358,135358,1,1,1
animal-63.jpg,595x454,595x454,157009,157009,1,1,1
animal-64.jpg,861x633,861x633,289408,289408,1,1,1
animal-65.jpg,1600x1120,1600x1120,470294,470294,1,1,1
animal-66.jpg,610x409,610x409,81686,81686,1,1,1
animal-67.jpg,1200x831,1200x831,688035,688035,1,1,1
animal-68.jpg,1272x1236,1272x1236,277386,277386,1,1,1
animal-69.jpg,847x565,847x565,129195,129195,1,1,1
animal-7.jpg,880x968,880x968,172990,172990,1,1,1
animal-70.jpg,640x480,640x480,128309,128309,1,1,1
animal-71.jpg,1024x793,1024x793,200984,200984,1,1,1
animal-72.jpg,2000x977,2000x977,321360,321360,1,1,1
animal-73.jpg,850x701,850x701,626516,626516,1,1,1
animal-74.jpg,933x700,933x700,483835,483835,1,1,1
animal-75.jpg,549x575,549x575,85585,85585,1,1,1
animal-76.jpg,829x466,829x466,88361,88361,1,1,1
animal-8.jpg,1200x792,1200x792,686972,686972,1,1,1
animal-9.jpg,1200x943,1200x943,272660,272660,1,1,1
