split_a,name_a,split_b,name_b,level,same_name,hash
tgt,COD10K-CAM-1-Aquatic-3-Crab-32.jpg,test,COD10K-CAM-1-Aquatic-3-Crab-32.jpg,fhash,1,e60fced9bfb2eeb8df4b7b9dcce931d6
tgt,COD10K-CAM-2-Terrestrial-23-Cat-1506.jpg,test,COD10K-CAM-2-Terrestrial-23-Cat-1506.jpg,fhash,1,311809538532626c3c07e95076c32130
tgt,COD10K-CAM-2-Terrestrial-28-Deer-1796.jpg,test,COD10K-CAM-2-Terrestrial-28-Deer-1762.jpg,fhash,0,58a9a7b96f9f5643139d33d73331c6f1
tgt,COD10K-CAM-2-Terrestrial-26-Chameleon-1694.jpg,test,COD10K-CAM-2-Terrestrial-31-Gecko-1892.jpg,fhash,0,1be584edf381ee65c4e802dedefb6717
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1928.jpg,test,COD10K-CAM-2-Terrestrial-31-Gecko-1895.jpg,fhash,0,e5f0ea8dec16c4b4ed178c58a9827cd9
tgt,COD10K-CAM-2-Terrestrial-32-Giraffe-1930.jpg,test,COD10K-CAM-2-Terrestrial-32-Giraffe-1932.jpg,fhash,0,6988e9b908fb9a6c8157405f49dcd375
tgt,COD10K-CAM-3-Flying-53-Bird-3205.jpg,test,COD10K-CAM-3-Flying-65-Owl-4633.jpg,fhash,0,6368c9991b9cc8f2d45eb87bb172e261
tgt,COD10K-CAM-1-Aquatic-3-Crab-32.jpg,test,COD10K-CAM-1-Aquatic-3-Crab-32.jpg,phash,1,41799ee1baa55f0fb4e4a04bc7bcec0a
tgt,COD10K-CAM-2-Terrestrial-23-Cat-1506.jpg,test,COD10K-CAM-2-Terrestrial-23-Cat-1506.jpg,phash,1,f8315e83f9c1e0ae6eb0149bb3c19ebc
tgt,COD10K-CAM-2-Terrestrial-28-Deer-1796.jpg,test,COD10K-CAM-2-Terrestrial-28-Deer-1762.jpg,phash,0,b482599d87f8f58b5653ac2486b29cfc
tgt,COD10K-CAM-2-Terrestrial-26-Chameleon-1694.jpg,test,COD10K-CAM-2-Terrestrial-31-Gecko-1892.jpg,phash,0,219e120bdf07193ba034f826b2780dbf
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1928.jpg,test,COD10K-CAM-2-Terrestrial-31-Gecko-1895.jpg,phash,0,67f201a4c3f9e173012761dffeed0a60
tgt,COD10K-CAM-2-Terrestrial-32-Giraffe-1930.jpg,test,COD10K-CAM-2-Terrestrial-32-Giraffe-1932.jpg,phash,0,f78b0b04ea23cdcbd326a1d3f860f617
tgt,COD10K-CAM-3-Flying-53-Bird-3205.jpg,test,COD10K-CAM-3-Flying-65-Owl-4633.jpg,phash,0,47be979348e506125407b21667f7730a
cham,animal-17.jpg,val,camourflage_00090.jpg,fhash,0,3a365949170a36120565f0b9913918d6
cham,animal-25.jpg,val,camourflage_00890.jpg,fhash,0,6fdc7accbb7574a8296d43de62506967
cham,animal-60.jpg,val,camourflage_00998.jpg,fhash,0,6fbf8b1b046337ed36b95267b00d64e1
cham,animal-17.jpg,val,camourflage_00090.jpg,phash,0,1b7b0fb2b5c90199998a694ba7ee35a7
cham,animal-25.jpg,val,camourflage_00890.jpg,phash,0,520551f941b1fa57efab8e97d4767e0f
cham,animal-60.jpg,val,camourflage_00998.jpg,phash,0,f2de7cbdba179d2535b396ec35481a6a
